words,delays
smeke,3.38
zook,3.25
thwown,3
glask,3.13
drose,4.13
skube,3
fles,3.38
snowl,3.38
scrym,3.5
cerm,3.63
blease,4.63
brask,3
scralk,3
oosh,3.5
stuke,3
shrirr,3.25
cilth,3.25
showth,3.13
rhete,3.5
fasp,3
dweke,3.38
gwarn,3
strow,3.13
throuse,3
lasp,3.13
crusque,3
cebb,3.13
glauk,3.13
celk,3.25
spube,3
dwarb,3.38
dwalp,3.13
thuse,3
strook,3
geve,3
buke,3.63
blynch,3.13
scrose,3.25
sprauk,3
veese,3
scralk,3.13
strow,3.13
strook,3
glask,3.38
sprauk,3.63
cilth,3
crusque,3.63
brask,3
fles,3
buke,3.13
showth,3
zook,3.75
glauk,3.13
scrym,3.13
thuse,3.25
veese,3.13
thwown,3
lasp,3
cerm,3.38
dwarb,3
scrose,3.88
fasp,3.25
stuke,3.13
snowl,3.25
celk,3.13
smeke,3
gwarn,3.75
oosh,3
geve,3.5
spube,3.25
drose,3.13
throuse,3.25
rhete,3.13
blynch,3.25
blease,3.13
dwalp,3.13
cebb,3.5
shrirr,3.25
skube,3.38
dweke,10.45
