words,delays
special.bmp,0.25
dialect.bmp,0.25
convent.bmp,0.25
clockwise.bmp,0.25
brushes.bmp,0.25
boos.bmp,0.25
defeats.bmp,0.25
swindle.bmp,0.25
facial.bmp,0.25
wry.bmp,0.25
honey.bmp,0.25
conspired.bmp,2.5
scramble_salesmen.bmp,0.25
scramble_suspect.bmp,0.25
scramble_leaps.bmp,0.25
scramble_chubby.bmp,0.25
scramble_rookie.bmp,0.25
scramble_dissident.bmp,0.25
scramble_strictly.bmp,0.25
scramble_farmers.bmp,0.25
scramble_mush.bmp,0.25
scramble_emerges.bmp,0.25
scramble_astute.bmp,0.25
scramble_sensual.bmp,2.5
absorbing.bmp,0.25
ceases.bmp,0.25
cultures.bmp,0.25
feint.bmp,0.25
reliance.bmp,0.25
dash.bmp,0.25
lentils.bmp,0.25
snappish.bmp,0.25
curves.bmp,0.25
pennant.bmp,0.25
quash.bmp,0.25
caterer.bmp,2.5
salesmen.bmp,0.25
suspect.bmp,0.25
leaps.bmp,0.25
chubby.bmp,0.25
rookie.bmp,0.25
dissident.bmp,0.25
strictly.bmp,0.25
farmers.bmp,0.25
mush.bmp,0.25
emerges.bmp,0.25
astute.bmp,0.25
sensual.bmp,2.5
scramble_absorbing.bmp,0.25
scramble_ceases.bmp,0.25
scramble_cultures.bmp,0.25
scramble_feint.bmp,0.25
scramble_reliance.bmp,0.25
scramble_dash.bmp,0.25
scramble_lentils.bmp,0.25
scramble_snappish.bmp,0.25
scramble_curves.bmp,0.25
scramble_pennant.bmp,0.25
scramble_quash.bmp,0.25
scramble_caterer.bmp,2.5
disturb.bmp,0.25
ridge.bmp,0.25
atoll.bmp,0.25
ellipsis.bmp,0.25
ditty.bmp,0.25
explore.bmp,0.25
evacuate.bmp,0.25
lemon.bmp,0.25
narration.bmp,0.25
snug.bmp,0.25
motorboat.bmp,0.25
concave.bmp,2.5
sweater.bmp,0.25
deadwood.bmp,0.25
orbit.bmp,0.25
sweeter.bmp,0.25
blunder.bmp,0.25
cool.bmp,0.25
quivering.bmp,0.25
enemy.bmp,0.25
pianist.bmp,0.25
rough.bmp,0.25
initials.bmp,0.25
filling.bmp,2.5
scramble_special.bmp,0.25
scramble_dialect.bmp,0.25
scramble_convent.bmp,0.25
scramble_clockwise.bmp,0.25
scramble_brushes.bmp,0.25
scramble_boos.bmp,0.25
scramble_defeats.bmp,0.25
scramble_swindle.bmp,0.25
scramble_facial.bmp,0.25
scramble_wry.bmp,0.25
scramble_honey.bmp,0.25
scramble_conspired.bmp,2.5
navy.bmp,0.25
violent.bmp,0.25
fielding.bmp,0.25
crusty.bmp,0.25
aggravate.bmp,0.25
maggot.bmp,0.25
theatres.bmp,0.25
stressed.bmp,0.25
happen.bmp,0.25
jag.bmp,0.25
bush.bmp,0.25
classroom.bmp,2.5
scramble_disturb.bmp,0.25
scramble_ridge.bmp,0.25
scramble_atoll.bmp,0.25
scramble_ellipsis.bmp,0.25
scramble_ditty.bmp,0.25
scramble_explore.bmp,0.25
scramble_evacuate.bmp,0.25
scramble_lemon.bmp,0.25
scramble_narration.bmp,0.25
scramble_snug.bmp,0.25
scramble_motorboat.bmp,0.25
scramble_concave.bmp,11.25
