words,delays
ceiling,3.25
engage,3.13
rue,3
moreover,3
saturday,3.25
harp,3.5
rainstorm,3
echoes,3
soluble,3.13
beaten,3.63
hung,3
cocoon,3.38
horror,3
cleanup,3.38
breathe,3.38
decide,3.63
fall,3.75
lilly,3.75
mood,4.13
violated,3.5
brown,3.13
establish,3.5
asleep,3
kin,3
gush,3.13
moist,3.25
distance,3.25
stumble,3
pitcher,3.25
mailman,3.38
curd,3.75
texture,3.25
wrap,3.13
knee,3.25
pain,3.63
toaster,3.25
coup,3
residence,3.13
bulldozer,3.13
shill,3
complain,4.63
pooch,3.13
whirl,3
face,3
womb,3
booty,3
ask,3.5
fashion,3.25
whole,3.38
confetti,3
delirious,3
tea,3.25
sentence,3.13
duck,3.13
dill,3
lick,3.13
patio,3
cob,3.25
operate,3.5
ultimatum,3.13
instead,3
burp,3.3
explosive,3
crocodile,3.13
merely,3.13
wig,3
clarinet,3.38
quite,3.25
dachshund,3
cactus,3.88
definite,3.38
gingham,3.13
surface,4.15
chess,3.13
syllable,3
pottery,3.13
douse,3
norman,3
glacier,3.25
limp,9.4
